dataset,n,error,trie+suffixes bytes,trie bytes,nodes,ns/lookup
GeoNames_truncated20.txt,7240280,630,73575,22212,8032,405
GeoNames_truncated20.txt,7240280,640,72816,21825,7860,402
GeoNames_truncated20.txt,7240280,650,71725,21567,7790,432
GeoNames_truncated20.txt,7240280,660,70024,21261,7689,399
GeoNames_truncated20.txt,7240280,670,68922,20962,7585,398
GeoNames_truncated20.txt,7240280,680,68895,20620,7439,396
GeoNames_truncated20.txt,7240280,690,67328,20370,7361,438
GeoNames_truncated20.txt,7240280,700,66815,20062,7236,396
GeoNames_truncated20.txt,7240280,710,65946,19768,7131,395
GeoNames_truncated20.txt,7240280,720,64581,19498,7016,394
GeoNames_truncated20.txt,7240280,730,64053,19234,6925,430
GeoNames_truncated20.txt,7240280,740,63564,19046,6885,390
GeoNames_truncated20.txt,7240280,750,63029,18750,6756,389
GeoNames_truncated20.txt,7240280,760,61635,18571,6702,388
GeoNames_truncated20.txt,7240280,770,61055,18324,6619,424
GeoNames_truncated20.txt,7240280,780,60187,18074,6505,382
GeoNames_truncated20.txt,7240280,790,60177,17829,6415,383
GeoNames_truncated20.txt,7240280,800,59060,17546,6280,381
GeoNames_truncated20.txt,7240280,810,58382,17363,6225,417
GeoNames_truncated20.txt,7240280,820,57540,17212,6185,378
GeoNames_truncated20.txt,7240280,830,57378,16961,6079,380
GeoNames_truncated20.txt,7240280,840,55961,16795,6033,375
GeoNames_truncated20.txt,7240280,850,56410,16607,5965,409
GeoNames_truncated20.txt,7240280,860,55113,16414,5883,371
GeoNames_truncated20.txt,7240280,870,54356,16233,5820,371
GeoNames_truncated20.txt,7240280,880,53757,16091,5785,372
GeoNames_truncated20.txt,7240280,890,52950,15838,5667,439
GeoNames_truncated20.txt,7240280,900,53052,15691,5612,385
GeoNames_truncated20.txt,7240280,910,52538,15535,5561,374
GeoNames_truncated20.txt,7240280,920,51950,15370,5500,376
GeoNames_truncated20.txt,7240280,930,51885,15193,5427,405
GeoNames_truncated20.txt,7240280,940,50856,15088,5413,367
GeoNames_truncated20.txt,7240280,950,50552,14873,5303,366
GeoNames_truncated20.txt,7240280,960,49864,14790,5299,366
GeoNames_truncated20.txt,7240280,970,49573,14577,5199,403
GeoNames_truncated20.txt,7240280,980,48446,14466,5163,373
GeoNames_truncated20.txt,7240280,990,49078,14268,5076,357
GeoNames_truncated20.txt,7240280,1000,48121,14190,5071,360
GeoNames_truncated20.txt,7240280,1100,43572,12559,4632,371
GeoNames_truncated20.txt,7240280,1200,40252,11515,4208,360
GeoNames_truncated20.txt,7240280,1300,37200,10688,3905,356
GeoNames_truncated20.txt,7240280,1400,34683,9967,3622,338
GeoNames_truncated20.txt,7240280,1500,32759,9332,3384,337
GeoNames_truncated20.txt,7240280,1600,31066,8759,3163,325
GeoNames_truncated20.txt,7240280,1700,29367,8260,2968,322
GeoNames_truncated20.txt,7240280,1800,27835,7858,2822,320
GeoNames_truncated20.txt,7240280,1900,26289,7500,2696,323
GeoNames_truncated20.txt,7240280,2000,25073,7100,2531,313
GeoNames_truncated20.txt,7240280,2100,24124,6795,2405,310
GeoNames_truncated20.txt,7240280,2200,22948,6496,2286,303
GeoNames_truncated20.txt,7240280,2300,21537,6052,2210,307
GeoNames_truncated20.txt,7240280,2400,21133,5836,2122,299
GeoNames_truncated20.txt,7240280,2500,20328,5583,2018,293
GeoNames_truncated20.txt,7240280,2600,19494,5407,1953,294
GeoNames_truncated20.txt,7240280,2700,18985,5215,1868,301
GeoNames_truncated20.txt,7240280,2800,18136,5063,1816,292
GeoNames_truncated20.txt,7240280,2900,17753,4887,1736,286
GeoNames_truncated20.txt,7240280,3000,17233,4750,1688,287
GeoNames_truncated20.txt,7240280,3100,16662,4603,1625,292
GeoNames_truncated20.txt,7240280,3200,16263,4505,1591,287
GeoNames_truncated20.txt,7240280,3300,15808,4372,1540,284
GeoNames_truncated20.txt,7240280,3400,15325,4233,1478,279
GeoNames_truncated20.txt,7240280,3500,14983,4127,1440,287
GeoNames_truncated20.txt,7240280,3600,14479,4022,1386,273
GeoNames_truncated20.txt,7240280,3700,14241,3949,1375,274
GeoNames_truncated20.txt,7240280,3800,13846,3851,1328,269
GeoNames_truncated20.txt,7240280,3900,13414,3747,1281,296
GeoNames_truncated20.txt,7240280,4000,13118,3689,1261,269
GeoNames_truncated20.txt,7240280,4100,12956,3599,1226,266
GeoNames_truncated20.txt,7240280,4200,12556,3534,1197,263
GeoNames_truncated20.txt,7240280,4300,12388,3487,1186,301
GeoNames_truncated20.txt,7240280,4400,12077,3375,1126,261
GeoNames_truncated20.txt,7240280,4500,11856,3299,1099,256
GeoNames_truncated20.txt,7240280,4600,11290,3134,1064,259
GeoNames_truncated20.txt,7240280,4700,11442,3227,1087,305
GeoNames_truncated20.txt,7240280,4800,11350,3127,1035,278
GeoNames_truncated20.txt,7240280,4900,10771,3013,1039,280
GeoNames_truncated20.txt,7240280,5000,10818,2951,1002,276
GeoNames_truncated20.txt,7240280,5100,10461,2899,989,279
GeoNames_truncated20.txt,7240280,5200,10318,2835,951,249
GeoNames_truncated20.txt,7240280,5300,10338,2806,942,251
GeoNames_truncated20.txt,7240280,5400,10021,2778,933,255
GeoNames_truncated20.txt,7240280,5500,9666,2705,901,279
GeoNames_truncated20.txt,7240280,5600,9514,2684,899,252
GeoNames_truncated20.txt,7240280,5700,9400,2614,862,247
GeoNames_truncated20.txt,7240280,5800,9393,2587,855,246
GeoNames_truncated20.txt,7240280,5900,9429,2557,839,265
GeoNames_truncated20.txt,7240280,6000,9164,2526,825,246
GeoNames_truncated20.txt,7240280,6100,8936,2504,818,247
GeoNames_truncated20.txt,7240280,6200,8715,2447,794,245
GeoNames_truncated20.txt,7240280,6300,8598,2418,780,264
GeoNames_truncated20.txt,7240280,6400,8583,2392,771,239
GeoNames_truncated20.txt,7240280,6500,8478,2364,755,238
GeoNames_truncated20.txt,7240280,6600,8353,2332,737,236
GeoNames_truncated20.txt,7240280,6700,8004,2291,729,268
GeoNames_truncated20.txt,7240280,6800,8160,2281,727,237
GeoNames_truncated20.txt,7240280,6900,7822,2248,710,235
GeoNames_truncated20.txt,7240280,7000,7817,2242,712,239
GeoNames_truncated20.txt,7240280,7100,7849,2203,688,263
GeoNames_truncated20.txt,7240280,7200,7668,2192,689,240
GeoNames_truncated20.txt,7240280,7300,7595,2165,674,234
GeoNames_truncated20.txt,7240280,7400,7398,2161,679,237
GeoNames_truncated20.txt,7240280,7500,7509,2119,665,262
GeoNames_truncated20.txt,7240280,7600,7357,2083,641,232
GeoNames_truncated20.txt,7240280,7700,7277,2077,643,235
GeoNames_truncated20.txt,7240280,7800,7201,2048,626,226
GeoNames_truncated20.txt,7240280,7900,7140,2037,623,255
GeoNames_truncated20.txt,7240280,8000,7011,2018,612,230
GeoNames_truncated20.txt,7240280,8100,6974,1983,604,230
